N;Avg time
1;2,29980000000000000000
2;4,60340000000000000000
3;6,97080000000000000000
4;9,56470000000000000000
5;11,99920000000000000000
6;15,73940000000000000000
7;17,35800000000000000000
8;19,18700000000000000000
9;22,86230000000000000000
10;24,17270000000000000000
11;26,15810000000000000000
12;28,62080000000000000000
13;30,99080000000000000000
14;33,68430000000000000000
15;34,83610000000000000000
16;36,83240000000000000000
17;38,93620000000000000000
18;41,10710000000000000000
19;222,54370000000000000000
20;46,04390000000000000000
